epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,424.549,0.86175,0.52284,0.97321,0.993,1,0.995,0.731,1.09464,0.44607,1.00512,0.000952714,0.000952714,0.000952714
103,429.036,0.90727,0.47053,0.96939,0.98933,1,0.995,0.7289,1.08765,0.46977,1.02531,0.000947999,0.000947999,0.000947999
104,433.653,0.93931,0.45624,1.00332,0.98539,1,0.995,0.65068,1.33551,0.54232,1.12613,0.000943283,0.000943283,0.000943283
105,438.231,0.97416,0.507,0.9974,0.98658,1,0.995,0.6999,1.11289,0.50677,1.00066,0.000938567,0.000938567,0.000938567
106,442.57,0.9709,0.48208,1.04225,0.98585,1,0.995,0.76219,1.00565,0.44465,0.97971,0.000933851,0.000933851,0.000933851
107,446.946,0.91862,0.47348,0.99661,0.99069,1,0.995,0.72102,1.11482,0.48796,1.02041,0.000929136,0.000929136,0.000929136
108,451.474,0.958,0.52414,1.01749,0.98343,1,0.995,0.73029,1.04152,0.4539,0.99371,0.00092442,0.00092442,0.00092442
109,455.66,0.91703,0.47075,0.99942,0.98656,1,0.995,0.68573,1.25362,0.47246,1.06522,0.000919704,0.000919704,0.000919704
110,460.119,0.92342,0.47369,0.98698,0.98682,1,0.995,0.74684,0.98343,0.43182,0.95356,0.000914989,0.000914989,0.000914989
111,464.385,0.91529,0.44892,0.97833,0.98771,1,0.995,0.70655,1.1189,0.47352,1.03111,0.000910273,0.000910273,0.000910273
112,468.765,0.96601,0.48004,1.02797,0.9933,1,0.995,0.74331,0.94656,0.44989,0.9552,0.000905557,0.000905557,0.000905557
113,473.137,0.9562,0.49852,0.98451,0.99219,1,0.995,0.71515,1.01406,0.44549,0.96662,0.000900842,0.000900842,0.000900842
114,477.506,0.89641,0.47669,0.97615,0.98896,1,0.995,0.71695,1.11494,0.4633,1.01375,0.000896126,0.000896126,0.000896126
115,481.815,0.93278,0.47609,1.0003,0.98975,1,0.995,0.73804,1.01008,0.44845,0.97039,0.00089141,0.00089141,0.00089141
116,486.276,0.87966,0.45045,0.96436,0.9484,0.97859,0.995,0.73046,1.10281,0.56312,0.98472,0.000886694,0.000886694,0.000886694
117,490.709,0.94021,0.48932,1.01214,0.99014,1,0.995,0.74338,0.99842,0.45037,0.94857,0.000881979,0.000881979,0.000881979
118,495.196,0.92556,0.45414,0.9997,0.99106,1,0.995,0.76879,0.96285,0.4159,0.95221,0.000877263,0.000877263,0.000877263
119,500.16,0.90757,0.49891,0.99496,0.98927,1,0.995,0.76355,0.97346,0.43075,0.95386,0.000872547,0.000872547,0.000872547
120,504.517,0.88407,0.46543,0.98849,0.99557,1,0.995,0.75965,0.95072,0.39579,0.95695,0.000867832,0.000867832,0.000867832
121,509.034,0.92226,0.45224,0.98817,0.99542,1,0.995,0.747,1.0465,0.41582,0.9848,0.000863116,0.000863116,0.000863116
122,513.414,0.85335,0.45689,0.96985,0.99174,1,0.995,0.73038,1.0932,0.43451,1.00073,0.0008584,0.0008584,0.0008584
123,517.934,0.85593,0.45545,0.96241,0.99174,1,0.995,0.72519,1.10174,0.43388,1.00686,0.000853685,0.000853685,0.000853685
124,522.317,0.85617,0.44738,0.96829,0.98717,1,0.995,0.72097,1.11038,0.44222,1.01245,0.000848969,0.000848969,0.000848969
125,526.676,0.86562,0.44368,0.96576,0.99059,1,0.995,0.74689,1.0418,0.41406,0.97047,0.000844253,0.000844253,0.000844253
126,531.177,0.87994,0.45376,0.97088,0.9923,1,0.995,0.72436,1.11293,0.45581,1.01892,0.000839537,0.000839537,0.000839537
127,535.598,0.88252,0.45667,0.9805,0.98841,1,0.995,0.7713,0.93295,0.42536,0.93766,0.000834822,0.000834822,0.000834822
128,540.455,0.89002,0.44956,0.96134,0.98749,1,0.995,0.74519,1.00508,0.40996,0.94699,0.000830106,0.000830106,0.000830106
129,544.929,0.85323,0.43039,0.95658,0.9481,1,0.995,0.78457,0.94378,0.42344,0.92374,0.00082539,0.00082539,0.00082539
130,549.933,0.87488,0.45076,0.95868,0.9667,1,0.995,0.76115,0.96538,0.4105,0.935,0.000820675,0.000820675,0.000820675
131,554.372,0.82666,0.43219,0.91711,0.99193,1,0.995,0.77718,0.91778,0.37939,0.92324,0.000815959,0.000815959,0.000815959
132,559.049,0.89387,0.43579,0.99446,0.99178,1,0.995,0.76673,0.95959,0.37313,0.94206,0.000811243,0.000811243,0.000811243
133,563.333,0.87834,0.44797,0.96335,0.99215,1,0.995,0.78812,0.9511,0.36136,0.94393,0.000806528,0.000806528,0.000806528
134,567.847,0.85627,0.44778,0.96075,0.99557,1,0.995,0.7717,0.87536,0.37841,0.92033,0.000801812,0.000801812,0.000801812
135,571.944,0.87743,0.44064,0.97998,0.99227,1,0.995,0.73843,1.01097,0.41522,0.98108,0.000797096,0.000797096,0.000797096
136,576.049,0.83797,0.41595,0.9675,0.99209,1,0.995,0.75854,0.98744,0.39626,0.96052,0.00079238,0.00079238,0.00079238
137,580.15,0.81734,0.42849,0.95587,0.99263,1,0.995,0.75975,0.9705,0.39283,0.95775,0.000787665,0.000787665,0.000787665
138,584.144,0.83472,0.4235,0.97492,0.99372,1,0.995,0.71728,1.09155,0.40556,1.01215,0.000782949,0.000782949,0.000782949
139,588.102,0.84341,0.40897,0.98041,0.99587,1,0.995,0.72686,1.10079,0.40491,1.02359,0.000778233,0.000778233,0.000778233
140,592.114,0.79026,0.41067,0.97019,0.99824,1,0.995,0.75863,1.04147,0.40655,0.99526,0.000773518,0.000773518,0.000773518
141,596.114,0.83407,0.40836,0.9657,0.99241,1,0.995,0.75437,1.03715,0.40463,0.99736,0.000768802,0.000768802,0.000768802
142,600.122,0.83718,0.41693,0.95,0.99253,1,0.995,0.72527,1.08409,0.41361,1.01282,0.000764086,0.000764086,0.000764086
143,604.105,0.82702,0.4279,0.96568,0.98676,1,0.995,0.76023,0.98095,0.40378,0.96553,0.000759371,0.000759371,0.000759371
144,608.114,0.86784,0.41892,0.97323,0.99408,1,0.995,0.75242,1.02003,0.39781,0.9986,0.000754655,0.000754655,0.000754655
145,612.094,0.86962,0.42016,0.96412,0.99482,1,0.995,0.75166,0.98048,0.38385,0.97465,0.000749939,0.000749939,0.000749939
146,616.053,0.79881,0.39418,0.94535,0.99127,1,0.995,0.76374,1.00031,0.40343,0.98696,0.000745223,0.000745223,0.000745223
147,620.003,0.8472,0.40133,0.95182,0.99141,1,0.995,0.76976,0.94197,0.3891,0.9548,0.000740508,0.000740508,0.000740508
148,624.034,0.87706,0.42748,0.98722,0.99233,1,0.995,0.76381,0.98009,0.39811,0.97287,0.000735792,0.000735792,0.000735792
