epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,839.02,0.75467,0.36761,0.91815,0.99071,1,0.995,0.71379,1.05638,0.38445,1.02046,0.00114134,0.00114134,0.00114134
63,852.153,0.7605,0.37075,0.91582,0.99074,1,0.995,0.73498,1.02564,0.3849,1.00061,0.00113663,0.00113663,0.00113663
64,865.23,0.74568,0.36288,0.91979,0.98908,1,0.995,0.74507,1.06777,0.38421,1.03769,0.00113191,0.00113191,0.00113191
65,878.559,0.73016,0.3484,0.91258,0.99255,1,0.995,0.75291,1.0012,0.36568,1.00669,0.0011272,0.0011272,0.0011272
66,891.944,0.71777,0.34929,0.90147,0.9898,1,0.995,0.7518,1.0083,0.35566,1.01021,0.00112248,0.00112248,0.00112248
67,905.455,0.72168,0.35736,0.90317,0.99414,1,0.995,0.73527,1.08475,0.36439,1.06351,0.00111776,0.00111776,0.00111776
68,919.03,0.72134,0.34954,0.90602,0.9896,1,0.995,0.74325,1.0419,0.36505,1.04992,0.00111305,0.00111305,0.00111305
69,932.431,0.71183,0.34759,0.90527,0.99598,1,0.995,0.74346,1.04108,0.34576,1.04062,0.00110833,0.00110833,0.00110833
70,945.819,0.71085,0.34987,0.90921,0.99263,1,0.995,0.73214,1.05229,0.37248,1.03998,0.00110362,0.00110362,0.00110362
71,959.423,0.75154,0.35719,0.9192,0.9959,1,0.995,0.7501,1.01592,0.36385,1.01725,0.0010989,0.0010989,0.0010989
72,972.66,0.72427,0.34719,0.90959,0.99396,1,0.995,0.76493,0.98914,0.35108,0.98872,0.00109419,0.00109419,0.00109419
73,985.862,0.72116,0.35072,0.90746,0.98922,1,0.995,0.76612,0.97158,0.35228,0.9597,0.00108947,0.00108947,0.00108947
74,999.179,0.73923,0.34837,0.915,0.99045,1,0.995,0.73758,1.00751,0.34901,0.98821,0.00108475,0.00108475,0.00108475
75,1012.43,0.71736,0.34023,0.90006,0.99074,1,0.995,0.76496,0.99572,0.35576,0.98336,0.00108004,0.00108004,0.00108004
76,1025.76,0.69941,0.34289,0.90272,0.98648,1,0.995,0.74503,1.05612,0.37831,1.03106,0.00107532,0.00107532,0.00107532
77,1039.09,0.70757,0.34069,0.90593,0.9673,1,0.995,0.73063,1.09697,0.40789,1.03032,0.00107061,0.00107061,0.00107061
78,1052.61,0.71391,0.34627,0.90094,0.99343,1,0.995,0.75387,1.03142,0.35357,1.00514,0.00106589,0.00106589,0.00106589
79,1066.13,0.70582,0.33785,0.90239,0.99618,1,0.995,0.75446,1.0141,0.34842,0.99323,0.00106118,0.00106118,0.00106118
